hindi,phon
दाना,d aa n aa
दाना-पानी,d aa n aa p aa n ii
दानी,d aa n ii
दानेदार,d aa n e d aa r
दाब,d aa b
दाबना,d aa b n aa
दाम,d aa m
दामाद,d aa m aa d
दायर,d aa y a r
दायरा,d aa y r aa
दायाँ,d aa y aa
दायित्व,d aa y i t v a
-दायी,d aa y ii
दाल,d aa l
दावत,d aa v a t
दावा,d aa v aa
दावेदार,d aa v e d aa r
दास,d aa s
दासना,d aa s t aa
दाह,d aa h
दाहिना,d a h i n aa
दिक,d i k
दिक़्क़त,d i q q a t
दिखना,d i kh n aa
दिखलाई,d i kh l E
दिखलाना,d i kh l aa n aa
दिखाई,d i kh E
दिखाना,d i kh aa n aa
दिखावटी,d i kh aa v tt ii
दिखावा,d i kh aa v aa
दिन,d i n
दिन-दिन,d i n d i n
दिन-रात,d i n  r aa t
दिनांक,d i n aa ~ k
दिनांकित,d i n aa ~ k i t
गिया,d i y aa
दिया,d i y aa
दिल,d i l
दिलचस्प,d i l c a s p a
दिलचस्पी,d i l c a s p ii
दिल-बहलाव,d i l b a h l aa v
दिलाना,d i l aa n aa
दिलासा,d i l aa s aa
दिली,d i l ii
दिलेर,d i l e r
दिलेरी,d i l e r ii
दिल्लगी,d i l l a g ii
दिवंगत,d i v a ng g a t
दिवस,d i v a s
दिवाला,d i v aa l aa
दिवालिया,d i v aa l i y aa
दिवाली,d i v aa l ii
दिव्य,d i v y a
दिशा,d i sh aa
दिसंबर,d i s a m b a r
दीं,d ii
दी,d ii
दीखना,d ii kh n aa
दीठ,d ii tth
दीदी,d ii d ii
दीन,d ii n
दीनता,d ii n t aa
दीन-दुनिया,d ii n d u n i y aa
दीप,d ii p
दीपमाला,d ii p m aa l aa
दीमक,d ii m a k
दीया,d ii y aa
दीया-सलाई,d ii y aa s a l E
दीर्घ,d ii r gh a
दीर्घकालीन,d ii r gh a k aa l ii n
दीर्घायु,d ii r gh aa y u
दीवाना,d ii v aa n aa
दीवानी,d ii v aa n ii
दीवार,d ii v aa r
दीवाली,d ii v aa l ii
दुः-,d u h 
दुःख,d u h kh
दुःखद,d u h kh a d
दुःखी,d u h kh ii
दुःसह,d u h s a h
दुःसाहस,d u h s aa h a s
दुःसाहसी,d u h s aa h a s ii
दुआ,d u aa
दुकान,d u k aa n
दुकानदार,d u k aa n d aa r
दुकानदारी,d u k aa n d aa r ii
दुक्की,d u k k ii
दुखड़ा,d u kh rr aa
दुखना,d u kh n aa
दुखाना,d u kh aa n aa
दुखिया,d u kh i y aa
दुगना,d u g n aa
दुगुना,d u g u n aa
दुग्ध,d u g dh a
दुतकारना,d u t k aa r n aa
दुधार,d u dh aa r
दुनिया,d u n i y aa
दुनियादार,d u n i y aa d aa r
दुनियादारी,d u n i y aa d aa r ii
दुपट्टा,d u p a tt tt aa
दुपहर,d u p a h r
दुबकना,d u b a k n aa
दुबला,d u b l aa
दुबारा,d u b aa r aa
दुभाषिया,d u bh aa sh i y aa
दुमंज़िला,d u m a n z i l aa
दुम,d u m
दुरंगा,d u r a ng g aa
दुरवस्था,d u r a v a s th aa
दुराग्रह,d u r aa g r a h
दुराग्रही,d u r aa g r a h ii
दुराचरण,d u r aa c a r a n
दुराचारी,d u r aa c aa r ii
दुराव,d u r aa v
दुरुपयोग,d u r u p y o g
दुरुस्त,d u r u s t
दुर्गंध,d u r g a n dh
दुर्गति,d u r g a t i
दुर्गम,d u r g a m
दुर्गुण,d u r g u n
दुर्घटना,d u r gh a tt n aa
दुर्दशा,d u r d a sh aa
दुर्बल,d u r b a l
दुर्बलता,d u r b a l t aa
दुर्बोध,d u r b o dh
दुर्बोधता,d u r b o dh t aa
दुर्भाग्य,d u r bh aa g y a
दुर्भाग्यपूर्ण,d u r bh aa g y a p uu r n a
दुर्भावना,d u r bh aa v n aa
दुर्भावनापूर्ण,d u r bh aa v n aa p uu r n a
दुर्भिक्ष,d u r bh i k sh a
दुर्लभ,d u r l a bh
दुर्व्यवहार,d u r v y a v h aa r
दुर्व्यसन,d u r v y a s a n
दुर्व्यसनी,d u r v y a s n ii
दुलहन,d u l h a n
दुलार,d u l aa r
दुलारा,d u l aa r aa
दुविधा,d u v i dh aa
दुशाला,d u sh aa l aa
दुश्चरित्र,d u sh c a r i t r a
दुश्मन,d u sh m a n
दुश्मनी,d u sh m a n ii
दुष्कर्म,d u sh k a r m
दुष्ट,d u sh tt a
दुष्टता,d u sh tt a t aa
दुस्सह,d u s s a h
दुस्साहस,d u s s aa h a s
दुस्साहसी,d u s s aa h s ii
दुहना,d u h n aa
दुहराना,d u h r aa n aa
दुहाई,d u h E
दूकान,d uu k aa n
दूज,d uu j
दूत,d uu t
दूतावास,d uu t aa v aa s
दूध,d uu dh
दूध-पूत,d uu dh p uu t
दूधभाई,d uu dh bh E
दूधवाला,d uu dh v aa l aa
दूधिया,d uu dh i y aa
दूना,d uu n aa
दूभर,d uu bh a r
दूर,d uu r
दूरगामी,d uu r g aa m ii
दूरदर्शिता,d uu r d a r sh i t aa
दूरदर्शी,d uu r d a r sh ii
दूरबीन,d uu r b ii n
दूरवर्ती,d uu r v a r t ii
दूरी,d uu r ii
दूलह,d uu l a h
दूषित,d uu sh i t
दूसरा,d uu s r aa
दूसरे,d u ~ s r e
दृढ़,d r i rrh
दृढ़ता,d r i rrh a t aa
दृढ़तापूर्वक,d r i rrh a t aa p uu r v a k
दृश्य,d r i sh y a
दृष्टांत,d r i sh tt aa n t
दृष्टि,d r i sh tt i
दृष्टिकोण,d r i sh tt i k o n
देखना,d e kh n aa
देखभाल,d e kh bh aa l
देख-रेख,d e kh r e kh
देखा-देखी,d e kh aa d e kh ii
देन,d e n
देनदार,d e n d aa r
देनदारी,d e n d aa r ii
देन-लेन,d e n l e n
देना,d e n aa
देय,d e y
देर,d e r
देरी,d e r ii
देव,d e v
देवदूत,d e v d uu t
देवर,d e v a r
देव-लोक,d e v l o k
देवी,d e v ii
देवी-देवता,d e v ii d e v t aa
देश,d e sh
देश-द्रोह,d e sh d r o h
देश-निकाला,d e sh n i k aa l aa
देश-भक्त,d e sh bh a k t a
देशभक्ति,d e sh bh a k t i
देशभक्तिपूर्ण,d e sh bh a k t i p uu r n a
देशी,d e sh ii
देह,d e h
देहली,d e h l ii
देहांत,d e h aa n t
देहात,d e h aa t
देहाती,d e h aa t ii
दैनिक,d E n i k
दैव,d E v
दैवयोग,d E v y o g
दो,d o
दो,d o
दोआबा,d o aa b aa
दोग़ला,d o Gh l aa
दोगाना,d o g aa n aa
दोगुना,d o g u n aa
दोतरफ़ा,d o t a r f aa
दोतल्ला,d o t a l l aa
दोधारा,d o dh aa r aa
दोनाली,d o n aa l ii
दोपहर,d o p a h r
दोपाया,d o p aa y aa
दोबारा,d o b aa r aa
दोमंज़िला,d o m a n z i l aa
दोमुँहा,d o m u ~ h aa
दोरंगा,d o r a ng g aa
दोरंगी,d o r a ng g ii
दोराहा,d o r aa h aa
दोरुख़ा,d o r u x aa
दोरुख़ी,d o r u x ii
दोशाला,d o sh aa l aa
दोष,d o sh
दोषाऱोपण,d o sh p uu r n a
दोषी,d o sh aa r o p a n
दोसाला,d o sh ii
दोसाला,d o s aa l aa
दोस्त,d o s t
दोस्ताना,d o s t aa n aa
दोस्ती,d o s t ii
दोहरा,d o h r aa
दोहराई,d o h r E
दोहराना,d o h r aa n aa
दौड़-धूप,d O rr dh uu p
दौड़ना,d O rr n aa
दौड़ाना,d O rr aa n aa
दौर,d O r
दौरा,d O r aa
दौरान,d O r aa n
दौलत,d O l a t
दौलतमंद,d O l a t m a n d
द्रव,d r a v
द्रुत,d r u t
द्रुतगामी,d r u t g aa m ii
द्रोह,d r o h
द्रोही,d r o h ii
द्वंद्व,d v a n d v a
द्वादश,d v aa d a sh
द्वार,d v aa r
द्वारपाल,d v aa r p aa l
द्वारा,d v aa r aa
द्विगुण,d v i g u n
द्वितीय,d v i t ii y a
द्विपक्षीय,d v i p a k sh ii y a
द्विवार्षिक,d v i v aa r sh i k
द्वीप,d v ii p
द्वीपवासी,d v ii p v aa s ii
द्वेष,d v e sh
द्वेषपूर्ण,d v e sh p uu r n a
धंधा,dh a n dh aa
धँसान,dh a ~ s n aa
धँसाना,dh a ~ s aa n aa
धक,dh a k
धकेलना,dh a k e l n aa
धक्का,dh a k k aa
धक्का-पेल,dh a k k aa p e l
धक्का-मुक्की,dh a k k aa m u k k ii
धज्जी,dh a j j ii
धड़,dh a rr
धड़कन,dh a rr k a n
धड़कना,dh a rr a k n aa
धड़धड़,dh a r dh a rr
धड़ाका,dh a rr aa k aa
धड़ाधड़,dh a rr aa dh a rr
धड़ाम,dh a rr aa m
धत्,dh a t
धता,dh a t aa
धतूरा,dh a t uu r aa
धधकना,dh a dh a k n aa
धधकाना,dh a dh k aa n aa
धन,dh a n
धन,dh a n
धन-जन,dh a n j a n
धन-दौलत,dh a n d O l a t
धन-धान्य,dh a n dh aa n y a
धनवान्,dh a n v aa n
धनिया,dh a n i y aa
धनी,dh a n ii
धनी-मानी,dh a n ii m aa n ii
धनुष,dh a n u sh
धन्नासेठ,dh a n n aa s e tth
धन्य,dh a n y a
धन्यवाद,dh a n y a v aa d
धप्पा,dh a p p aa
धब्बा,dh a b b aa
धब्बेदार,dh a b b e d aa r
धम,dh a m
धमकाना,dh a m k aa n aa
धमकी,dh a m k ii
धमनी,dh a m n ii
धमाका,dh a m aa k aa
धमा-चौकड़ी,dh a m aa c O k rr ii
धमाधम,dh a m aa dh a m
धरना,dh a r n aa
धरना,dh a r n aa
धर-पकड़,dh a r p a k a rr
धरातल,dh a r aa t a l
धरोहर,dh a r o h a r
धर्म,dh a r m a
धर्म-कर्म,dh a r m a k a r m a
धर्म-ग्रंथ,dh a r m a g r a n th
धर्मशाला,dh a r m a sh aa l a
धर्मशास्त्र,dh a r m a sh aa s t r a
धर्मात्मा,dh a r m aa t m aa
धर्मार्थ,dh a r m aa r th a
धर्मी,dh a r m ii
धाक,dh aa k
धाकड़,dh aa k a rr
धागा,dh aa g aa
धात,dh aa t
धात्री,dh aa t r i ii
धान,dh aa n
धान्य,dh aa n y a
धार,dh aa r
धार,dh aa r
धारण,dh aa r a n
धारणा,dh aa r n aa
धारदार,dh aa r d aa r
धारा,dh aa r aa
धारा-प्रवाह,dh aa r aa p r a v aa h
धारावाहिक,dh aa r aa v aa h i k
धारी,dh aa r ii
-धारी,dh aa r ii
धारीदार,dh aa r ii d aa r
धार्मिक,dh aa r m i k
धावा,dh aa v aa
धिक्कार,dh i k k aa r
धिक्कारना,dh i k k aa r n aa
धीमा,dh ii m aa
धीमे,dh ii m e
धीरज,dh ii r a j
धीरा,dh ii r aa
धीरे,dh ii r e
धुंध,dh u n dh
धुँधला,dh u ~ dh l aa
धुकधुकी,dh u k dh u k ii
धुन,dh u n
धुनना,dh u n n aa
धुनिया,dh u n i y aa
धुरंधर,dh u r a n dh a r
धुर,dh u r
धुरा,dh u r aa
धुरी,dh u r ii
धुर्रा,dh u r r aa
धुलना,dh u l n aa
धुलवाना,dh u l v aa n aa
धुलाई,dh u l E
धुलाना,dh u l aa n aa
धूप,dh uu p
धूम,dh uu m
धूम्रपान,dh uu m r a p aa n
धूर्त,dh uu r t a
धूर्तता,dh uu r t a t aa
धूल,dh uu l
धृष्टता,dh r i sh tt a t aa
धृष्टतापूर्वक,dh r i sh tt a t aa p uu r v a k
धैर्य,dh E r y a
धोखा,dh o kh aa
धोखेबाज़,dh o kh e b aa z
धोखेबाजी,dh o kh e b aa z ii
धोती,dh o t ii
धोना,dh o n aa
धोबिन,dh o b i n
धोबी,dh o b ii
ध्यान,dh y aa n
ध्रुव,dh r u v
ध्वंस,dh v a n s
ध्वंसक,dh v a n s a k
ध्वज,dh v a j
ध्वनि,dh v a n i
ध्वस्त,dh v a s t a
नंगा,n a ng g aa
नंगा-धड़ंगा,n a ng g aa dh a rr a ng g aa
नंदोई,n a n d o ii
नंबर,n a m b a r
नंबरदार,n a m b a r d aa r
नंबरवार,n a m b a r v aa r
नंबरी,n a m b r ii
न,n a
नई,n Ei
नकटा,n a k tt aa
नक़द,n a q a d
नक़ल,n a q a l
नक़ली,n a q l ii
नकारना,n a k aa r n aa
नकारात्मक,n a k aa r aa t m a k
नक्कू,n a k k uu
नक़्शा,n a q sh aa
नख,n a kh
नख़रा,n a x r aa
नग,n a g
नगण्य,n a g a n y a
नगर,n a g a r
नगरपालिका,n a g a r p aa l i k aa
नगरीय,n a g a r ii y a
नगीना,n a g ii n aa
नग्न,n a g n a
नचाना,n a c aa n aa
नज़दीक,n a z d aa k
नज़दीकी,n a z d ii k ii
नज़री,n a z a r
नज़रबंद,n a z a r b a n d
नटखट,n a tt kh a tt
नतीजा,n a t ii j aa
नत्थी,n a t th ii
नथना,n a th n aa
नद,n a d
नदी,n a d ii
नदी-तल,n a d ii t a l
ननद,n a n a d
ननसाल,n a n s aa l
नन्हा,n a n h aa
नफ़रत,n a f r a t
नफ़ा,n a f aa
नफ़ाख़ोर,n a f aa x o r
नफ़ाख़ोरी,n a f aa x o r ii
नबेड़ना,n a b e rr n aa
नब्ज़,n a b z a
नब्बे,n a b b e
नम,n a m
नमक,n a m a k
नमक-मिर्च,n a m a k m i r c a
नमक-हराम,n a m a k h a r aa m
नमक-हलाल,n a m a k h a l aa l
नमकीन,n a m k ii n
नमस्कार,n a m a s k aa r
नमस्ते,n a m a s t e
नमाज़,n a m aa z
नमी,n a m ii
नमीदार,n a m ii d aa r
नमूना,n a m uu n aa
नम्र,n a m r a
नम्रता,n a m r a t aa
नया,n a y aa
नर,n a r
नरक,n a r a k
नरगिस,n a r g i s
नरम,n a r a m
नरम-गरम,n a r a m g a r a m
नरमी,n a r m ii
नर्तक,n a r t a k
नर्तकी,n a r t a k ii
नर्म,n a r m
नर्मी,n a r m ii
नर्स,n a r s
नल,n a l
नलका,n a l k aa
नल-कूप,n a l k uu p
नली,n a l ii
नवंबर,n a v a m b a r
नव,n a v
नवजात,n a v j aa t
नवजीवन,n a v j ii v a n
नवनिर्माण,n a v n i r m aa n
नवम,n a v a m
नवयुवक,n a v y u v a k
नवरत्न,n a v r a t n a
नवरस,n a v r a s
नववर्ष,n a v v a r sh a
नवाब,n a v aa b
नवाबी,n a v aa b ii
नवासा,n a v aa s aa
नवासी,n a v aa s ii
नवासी,n a v a s ii
नवीन,n a v ii n
नवीनतम,n a v ii n t a m
नवीनता,n a v ii n t aa
नव्वे,n a v v e
नशा,n a sh aa
नशाबंदी,n a sh aa b a n d ii
नशीला,n a sh ii l aa
नशेबाज़,n a sh e b aa z
नश्वर,n a sh v a r
नष्ट,n a sh tt a
नस,n a s
नसबंदी,n a s b a n d ii
नसल,n a s a l
नसली,n a s l ii
नसीब,n a s ii b
नहर,n a h a r
नहला,n a h l aa
नहलाना,n a h l aa n aa
नहाना,n a h aa n aa
नहीं,n a h ii
ना,n aa
नाइट्रोजन,n aa i t r o j a n
नाइलॉन,n aa i l o n
नाई,n E
नाक,n aa k
नाका,n aa k aa
नाका,n aa k aa
नाकाबंदी,n a k aa b a n ii
नाकारा,n aa k aa r aa
नाकेबंदी,n aa k e b a n d ii
नाख़ुन,n aa x u n
नाख़ुश,n aa x u sh
नाख़ून,n aa x uu n
नाग,n aa g
नागपंचमी,n aa g p a n c a m ii
नागफनी,n aa g ph a n ii
नागरिक,n aa g r i k
नागरिकता,n aa g r i k t aa
नागिन,n aa g i n
नाच,n aa c
नाचघर,n aa c gh a r
नाचना,n aa c n aa
नाजायज़,n aa j aa y a z
नाज़ुक,n aa z u k
नाटक,n aa tt a k
नाटकीय,n aa tt a k ii y a
नाटा,n aa tt aa
नाट्यशाला,n aa tt y a sh aa l aa
नाड़ा,n aa rr aa
नाड़ी,n aa r ii
नाता,n aa t aa
नाती,n aa t ii
नाते,n aa t e
नातेदार,n aa t e d aa r
नातेदारी,n aa t e d aa r ii
नाथ,n aa th
नाथ,n aa th
नाथना,n aa th n aa
नादान,n aa d aa n
नादानी,n aa d aa n ii
नाना,n aa n aa
नाना,n aa n aa
नानी,n aa n ii
नाप,n aa p
नाप-जोख,n aa p j o kh
नापना,n aa p n aa
नापसंद,n aa p a s a n d
नाबदान,n aa b d aa n
नाभि,n aa bh i
नामंज़ूर,n aa m a n z uu r
नाम,n aa m
नामकरण,n aa m k a r a n
नाम-निशान,n aa m n i sh aa n
नाम-पट्ट,n aa m p a tt tt a
नाम-मात्र,n aa m m aa t r a
नामर्द,n aa m a r d a
नामांकन,n aa m aa ~ k a n
नामांकित,n aa m aa ~ k i t
नामालूम,n aa m aa l uu m
नामावली,n aa m aa v l ii
नामी,n aa m ii
नामुमकिन,n aa m u m k i n
नायक,n aa y a k
नारंगी,n aa r a ng g ii
नारा,n aa r aa
नाराज़,n aa r aa z
नाराज़गी,n aa r aa z g ii
नारियल,n aa r i y a l
नारी,n aa r ii
नारेबाज़ी,n aa r e b aa z ii
नार्मल,n aa r m a l
नाल,n aa l
नाल,n aa l
नाल,n aa l
नाल,n aa l
नाला,n aa l aa
नालायक़,n aa l aa y a q
नालिश,n aa l i sh
नाली,n aa l ii
नाव,n aa v
नाश,n aa sh
नाशक,n aa sh a k
नाशपाती,n aa sh p aa t ii
नाशवान्,n aa sh v aa n
नाश्ता,n aa sh t aa
नासमझ,n aa s a m a jh
नासमझी,n aa s a m jh ii
नास्तिक,n aa s t i k
नास्तिकता,n aa s t i k t aa
निंदनीय,n i n d n ii y a
निंदा,n i n d aa
निःशस्त्रीकरण,n i h sh a s t r ii k a r a n
निःशुल्क,n i h sh u l k a
निःसंकोच,n i h s a ~ k o c
निःसंतान,n i h s a n t aa n
निःसंदेह,n i h s a n d e h
निःस्वार्थ,n i h s v aa r th a
निकट,n i k a tt
निकटतम,n i k a tt t a m
निकम्मा,n i k a m m aa
निकल,n i k a l
नकलना,n i k a l n aa
निकलवाना,n i k a l v aa n aa
निकालना,n i k aa l n aa
निकास,n i k aa s
निकासी,n i k aa s ii
निकृष्ट,n i k r i sh tt a
निकाह,n i k aa h a
निखट्टू,n i kh a tt tt uu
निखरना,n i kh a r n aa
निगरानी,n i g r aa n ii
निगलना,n i g a l n aa
निगाह,n i g aa h
निगोड़ा,n i g o rr aa
निचला,n i c l aa
निचान,n i c aa n
निचुड़ना,n i c u rr n aa
निचोड़,n i c o rr
निचोड़ना,n i c o rr n aa
निछावर,n i ch aa v a r
निज,n i j
निजी,n i j ii
निठल्ला,n i tth a l l aa
निठल्लापन,n i tth a l l aa p a n
निडर,n i dd a r
नितांत,n i t aa n t
नित्य,n i t y a
निथरना,n i th a r n aa
निथारना,n i th aa r n aa
निदेशक,n i d e sh a k
निद्रा,n i d r aa
निधड़क,n i dh a rr a k
निधन,n i dh a n
निधि,n i dh i
निनानवे,n i n aa n v e
निपट,n i p a tt
निपटना,n i p a tt n aa
निपटाना,n i p tt aa n aa
निपटारा,n i p tt a r aa
निपुण,n i p u n
निपुणता,n i p u n aa t
निबंध,n i b a n dh
निबटना,n i b a tt n aa
निबटाना,n i b tt aa n aa
निबटारा,n i b tt aa r aa
निबाहना,n i b aa h n aa
निभना,n i bh n aa
निभाना,n i bh aa n aa
निमंत्रण,n i m a n t r a n
निमंत्रित,n i m a n t r i t
निमग्न,n i m a g n a
निमित्त,n i m i t t a
निमोनिया,n i m o n i y aa
निम्न,n i m n a
निम्नतम,n i m n a t a m
निम्नलिखित,n i m n a l i kh i t
निम्नांकित,n i m n aa ~ k i t
नियंत्रण,n i y a n t r a n
नियंत्रित,n i y a n t r i t
नियत,n i y a t
नियम,n i y a m
नियमतः,n i y a m t a h
नियमपूर्वक,n i y a m p uu r v a k
नियमविरुद्ध,n i y a m v i r u d dh a
नियमानुसार,n i y a m aa n u s aa r
नियमावली,n i y a m aa v l ii
नियमित,n i y a m i t
नियमितता,n i y a m i t t a
नियुक्त,n i y u k t a
नियुक्ति,n i y u k t i
निर्-,n i r 
निरंकुश,n i r a ~ k u sh
निरंकुशता,n i r a ~ k u sh t aa
निरंतर,n i r a n t a r
निरक्षर,n i r a k sh a r
निरक्षरता,n i r a k sh a r t aa
निरपराध,n i r a p r aa dh
निरपेक्ष,n i r a p e k sh a
निरभिमान,n i r a bh i m aa n
निरर्थक,n i r a r th a k
निरर्थकता,n i r a r th a k t aa
निरस्त्रीकरण,n i r a s t r ii k a r a n
निरा,n i r aa
निराई,n i r E
निराकार,n i r aa k aa r
निरादर,n i r aa d a r
निराधार,n i r aa dh aa r
निराना,n i r aa n aa
निरामिष,n i r aa m i sh
निराला,n i r aa l aa
निराश,n i r aa sh
निराशा,n i r aa sh aa
निराशाजनक,n i r aa sh aa j a n a k
निराशावादी,n i r aa sh aa v aa d i
निरीक्षक,n i r ii k sh a k
निरीक्षण,n i r ii k sh a n
निर्ख़,n i r x a
निर्जन,n i r j a n
निर्जल,n i r j a l
निर्जीव,n i r j ii v
निर्णय,n i r n a y
निर्णायक,n i r n aa y a k
निर्दय,n i r d a y
निर्दयता,n i r d a y t aa
निर्देश,n i r d e sh
निर्दोष,n i r d o sh
निर्दोषता,n i r d o sh t a
निर्धन,n i r dh a n
निर्धनता,n i r dh a n t aa
निर्धारण,n i r dh aa r a n
निर्धारित,n i r dh aa r i t
निर्बल,n i r b a l
निर्बलता,n i r b a l t aa
निर्बाध,n i r b aa dh
निर्भय,n i r bh a y
निर्भर,n i r bh a r
निर्मल,n i r m a l
निर्माण,n i r m aa n
निर्माता,n i r m aa t aa
निर्मित,n i r m i t
निर्मूल,n i r m uu l
निर्यात,n i r y aa t
निर्लज्ज,n i r l a j j a
निर्लज्जता,n i r l a j j a t aa
निर्वाचक,n i r v aa c a k
निर्वाचन,n i r v aa c a n
निर्वाण,n i r v aa n
निर्वासन,n i r v aa s a n
निर्वासित,n i r v aa s i t
निर्वाह,n i r v aa h
निलंबन,n i l a m b a n
निलंबित,n i l a m b i t
निबाड़,n i v aa rr
निवाड़ी,n i v aa rr i
निवारण,n i v aa r a n
निवास,n i v aa s
निवासी,n i v aa s ii
निवृत्त,n i v r i t t a
निवृत्ति,n i v r i t t i
निवेदन,n i v e d a n
निशान,n i sh aa n
निशाना,n i sh aa n aa
निशानाबाज़,n i sh aa n aa b aa z
निशानी,n i sh aa n ii
निश्शुल्क,n i sh sh u l k a
निश्चय,n i sh c a y
निश्चल,n i sh c a l
निश्चिंत,n i sh c i n t
निश्चिंतता,n i sh c i n t t aa
निश्चित,n i sh c i t
निश्छल,n i sh ch a l
निषेध,n i sh e dh
निषेधात्मक,n i sh e dh aa t m a k
निष्कपट,n i sh k a p a tt
निष्क्रिय,n i sh k r i y a
निष्क्रियता,n i sh h k r i y a t aa
निष्ठा,n i sh tth aa
निष्ठुर,n i sh tth u r
निष्ठुरता,n i sh tth u r t aa
निष्पक्ष,n i sh p a k sh a
निष्पक्षता,n i sh p a k sh a t aa
निष्फल,n i sh ph a l
निस्संकोच,n i s s a ~ k o c
निस्संतान,n i s s a n t aa n
निस्संदेह,n i s s a n d e h
निस्स्वार्थ,n i s s v aa r th a
निहत्था,n i h a t th aa
निहायत,n i h aa y a t
नीअत,n ii a t
नीच,n ii c
नीचता,n ii c t a
नीचा,n ii c aa
नीचाई,n ii c E
नीचे,n ii c e
निचे-ऊपर,n ii c e uu p a r
नीड़,n ii rr
नीति,n ii t i
नीतिशास्त्र,n ii t i sh aa s t r a
नीबू,n ii b uu
नीम,n ii m
नीम-हकीम,n ii m h a k ii m
नीयत,n ii y a t
नीरस,n ii r a s
नीरोग,n ii r o g
नील,n ii l
नीलकंठ,n ii l k a n tth
नीलम,n ii l a m
नीला,n ii l aa
नीलाम,n ii l aa m
नीलामी,n ii l aa m ii
नुक़सान,n u q s aa n
नुकीला,n u k ii l aa
नुक्कड़,n u k k a rr
नुक़्स,n u q s a
नुचना,n u c n aa
नुमाइश,n u m aa i sh
नुमाइशी,n u m aa i sh ii
नुसख़ा,n u s x aa
नूतन,n uu t a n
नृत्य,n r i t y a
ने,n e
नेक,n e k
नेकचलन,n e k c a l a n
नेकंचलनी,n e k c a l n ii
नेकदिल,n e k d i l
नेकनाम,n e k n aa m
नेकनामी,n e k n aa m ii
नेकी,n e k n ii y a t
नेकी,n e k ii
नेता,n e t aa
नेतृत्वं,n e t r i t v a
नेत्र,n e t r a
नेवला,n e v l aa
नैतिक,n E t i k
नैतिकता,n E t i k t aa
नैहर,n E h a r
नोक,n o k
नोकदार,n o k d aa r
नोच-खसोट,n o c kh a s o tt
नोचना,n o c n aa
नोट,n o tt
नोट-पेपर,n o tt p e p a r
नोट-बुक,n o tt b u k
नोटिस,n o tt i s
नौ,n O
नौकर,n O k a r
नौकर-चाकर,n O k a r c aa k a r
नौकर-शाही,n O k a r sh aa h ii
नौकरी,n O k r ii
नौका,n aa u k aa
नौजवान,n O j a v aa n
नौतोड़,n O t o rr
नौसिखिया,n O s i kh i y aa
नौ-सेना,n O s e n aa
नौ-सैनिक,n O s E n i k
न्याय,n y aa y
न्यायपूर्ण,n y aa y p uu r n a
न्यायप्रिय,n y aa y p r i y a
न्यायाधीश,n y aa y aa dh ii sh
न्यायालय,n y aa y aa l a y
न्यारा,n y aa r aa
न्योछावर,n y o ch aa v a r
न्योता,n y o t aa
पंक्चर,p a ~ k c a r
पंक्ति,p a ~ k t i
पंख,p a ~ kh
पंखड़ी,p a ~ kh rr i
पंखा,p a ~ kh aa
पंगु,p a ng g u
पँच-,p a ~ c 
पंच-,p a n c 
पंच,p a n c
पंचम,p a n c a m
पंचमी,p a n c m ii
पँचमेल,p a ~ c m e l
पंचरत्न,p a n c r a t n a
पंचवर्षीय,p a n c v a r sh ii y a
पंचशील,p a n c sh ii l
पंचायत,p a n c aa y a t
पंछी,p a n c ii
पंजर,p a n j a r
पंजसाला,p a n j s aa l aa
पंजा,p a n j aa
पंजी,p a n j ii
पंडा,p a n dd aa
पंडाल,p a n dd aa l
पंडित,p a n dd i t
पंडिताई,p a n dd i t E
पंडिताऊ,p a n dd i t O
पंथ,p a n th
पंद्रह,p a n d r a h
पंप,p a m p
पंसेरी,p a n s e r ii
पकड़,p a k a rr
पकड़ना,p a k a rr n aa
पकड़वाना,p a k a rr v aa n aa
पकड़ाना,p a k rr aa n aa
पकना,p a k n aa
पकवान,p a k v aa n
पकवाना,p a k v aa n aa
पका,p a k aa
पकाना,p a k aa n aa
पकौड़ा,p a k O rr aa
पक्का,p a k k aa
पक्ष,p a k sh a
पक्षपात,p a k sh a p aa t
पक्षपातपूर्ण,p a k sh a p aa t p uu r n a
पक्षी,p a k sh ii
पखवारा,p a kh v aa r a
पग,p a g
पगडंडी,p a g dd a n dd ii
पगड़ी,p a g rr ii
पचड़ा,p a c rr aa
पचना,p a c n aa
पचपन,p a c p a n
पचहत्तर,p a ch a t t a r
पचानवे,p a c a n v e
पचाना,p a c aa n aa
पचास,p a c aa s
पचासी,p a c aa s ii
पचीस,p a c ii s
पच्चर,p a c c a r
पच्चीस,p a c c ii s
पच्छिम,p a c ch i m
पछताना,p a ch t aa n aa
पछतावा,p a ch t aa v aa
पछाड़ना,p a ch aa rr n aa
पछुआ,p a ch u aa
पट,p a tt
पट,p a tt
कटकना,p a tt a k n aa
पटना,p a tt n aa
पटरा,p a tt r aa
पटरानी,p a tt r aa n ii
पटरी,p a tt r ii
पटासन,p a tt s a n
पटाका,p a tt aa k aa
पटाना,p a tt aa n aa
पटुआ,p a tt u aa
पट्टा,p a tt tt aa
पट्टा,p a tt tt aa
पट्टी,p a tt tt ii
पठीर,p a tth aa r
पड़ताल,p a rr t aa l
पड़ती,p a rr t ii
पड़ना,p a rr n aa
पड़ा,p a rr aa
पड़ाव,p a rr aa v
पड़ोस,p a rr o s
पड़ोसी,p a rr o s ii
पढ़ना,p a rrh n aa
पढ़ाई,p a rrh E
